incident,location,building,reported,occurred,comments,disposition,ucpdi#,start,end,in_jurisdiction,information,assist_other_agency,non_criminal,attempted,warrant,armed,aggravated,domestic,cpd_case_id,arrest,lat,lon
NA,5500 s. lake park,NA,2015-02-18T13:06:00Z,2/18/15 1:06 PM,Information relating to a traffic crash / CPD report HY146445,Closed,E00125,2015-02-18T13:06:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY146445,FALSE,41.7950649,-87.5878062
fire,5758 s. maryland,dcam,2015-02-19T06:32:00Z,2/19/15 6:32 AM,Light fixture shorted in hospital Imaging room / Extinguished prior to arrival of CFD / Minor damage to light fixture / No injuries reported,Closed,E00126,2015-02-19T06:32:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7902993,-87.6055693
traffic accident,1020 e. 61st st.,granville-grossman rh,2015-02-19T07:53:00Z,2/19/15 7:53 AM,Car jumped curb and struck city sign post in parkway and railing of residence hall / Property damage only / No injuries reported / CPD case HY156455,CPD Involved,E00127,2015-02-19T07:53:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY156455,FALSE,41.7840976,-87.6003192
theft,5807 s. woodlawn,booth school,2015-02-19T17:20:00Z,2/19/15 4:40 PM to 4:42 PM,Unknown person took unattended iPad from unsecured office,Open,E00128,2015-02-19T16:40:00Z,2015-02-19T16:42:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891387,-87.5954555
theft,1116 e. 59th st.,harper,2015-02-20T08:44:00Z,2/20/15 12:00 AM to 12:10 AM,"Unattended, unsecured book bag taken from common area on 2nd floor",Open,E00129,2015-02-20T00:00:00Z,2015-02-20T00:10:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7879664,-87.5995364
theft,1212 e. 59th st.,ida noyes,2015-02-20T16:18:00Z,2/20/15 11:15 AM to 2:45 PM,"Wallet taken from unattended, unsecured purse left in 2nd floor room / Subsequent unauthorized use of credit cards reported",Open,E00130,2015-02-20T11:15:00Z,2015-02-20T14:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7880702,-87.5956216
mental health transport,56th st. between kimbark and kenwood,NA,2015-02-20T15:41:00Z,2/20/15 3:00 PM,Individual  transported to ER by CFD EMS for evaluation and treatment,Closed,E00131,2015-02-20T15:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79328265,-87.5940743
fire,1414 e. 59th st.,i-house 3rd floor,2015-02-20T19:49:00Z,2/20/15 7:45 PM,"Resident placed candle, believed to be extinguished, into a trash can / Small fire resulted in trash can and was extinguished by residents / No injuries or property damage reported / CFD responded",Closed,E00133,2015-02-20T19:45:00Z,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7882466,-87.5909896
mental health transport,6031 s. ellis,granville-grossman rh,2015-02-21T03:24:00Z,2/21/15 3:24 AM,Individual transported to ER by CFD EMS for evaluation and treatment,Closed,E00134,2015-02-21T03:24:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
mental health transport,1101 e. 56th st.,max palevsky,2015-02-21T03:53:00Z,2/21/15 3:53 AM,Individual transported to ER by CFD EMS for evaluation and treatment,Closed,E00135,2015-02-21T03:53:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7929725,-87.5999278
damage to property,6054 s. drexel,NA,2015-02-22T08:48:00Z,2/22/15 7:35 AM,Dent in passenger's side door of UC owned vehicle reported / Cause unknown,Closed,E00136,2015-02-22T07:35:00Z,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
theft,1307 e. 60th st.,ngrh bike rack,2015-02-22T16:38:00Z,2/21/15 2:00 PM to 10:30 PM,Secured bicycle taken from bike rack,Open,E00137,2015-02-21T14:00:00Z,2015-02-21T22:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.785663,-87.5938718
theft,935 e. 56th st.,high energy physics,2015-02-23T15:05:00Z,2/20/15 to 2/23/15 5:00 PM to 7:00 AM,"2 space heaters, cash and pastries taken from lab",Open,E00138,2015-02-20T17:00:00Z,2015-02-23T07:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792984,-87.6024664
theft,1010 e. 59th st.,classics,2015-02-24T07:53:00Z,2/24/15 7:00 AM to 7:45 AM,Unattended cell phone being recharged in hallway outlet was taken by an unknown person,Open,E00139,2015-02-24T07:00:00Z,2015-02-24T07:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7879118,-87.6008291
NA,6045 s. kenwood,its,2015-02-24T14:25:00Z,2/21/15 to 2/24/15 2:00 AM to 2:20 PM,Complaints regarding harassing website postings,Open,E00140,2015-02-21T02:00:00Z,2015-02-24T14:20:00Z,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7847535,-87.592671
theft,"1332 e, 56th st.",NA,2015-02-24T19:17:00Z,2/24/15 7:17 PM,Three suspects attempted to take groceries from bag victim was carrying / Suspects fled as UCPD officers approached / Suspects apprehended by UCPD officers / Victim refused to prosecute / Exceptionally Cleared,Exceptionally Cleared,E00141,2015-02-24T19:17:00Z,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7933958,-87.5935887
damage to property,6054 s. drexel,NA,2015-02-26T07:30:00Z,2/26/15 7:30 AM,Slight damage to bumper of UC owned vehicle was reported,Closed,E00142,2015-02-26T07:30:00Z,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
injured person,1100 e. 57th st.,regenstein library,2015-02-26T09:53:00Z,2/26/15 9:45 AM,Individual slipped striking head on floor in reading room / Transported to ER by CFD EMS for evaluation and treatment,Closed,E00143,2015-02-26T09:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
theft,1212 e. 59th st.,ida noyes,2015-02-26T22:44:00Z,2/26/15 6:30 PM to 10:40 PM,"Unattended, unsecured canvas bag containing text books, medication, and papers taken from table in Pub / Subsequent to follow up investigation the suspect was identified / Property returned / Owner refused to prosecute",Exceptionally Cleared,E00144,2015-02-26T18:30:00Z,2015-02-26T22:40:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7880702,-87.5956216
harassment,6054 s. drexel,NA,2015-02-27T12:10:00Z,6/6/14 to 2/24/15 Various,Investigation of postings on social media site,Open,E00145,2014-06-06T00:00:00Z,2015-02-24T00:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
NA,1427 e. 60th st.,press,2015-02-27T12:57:00Z,2/27/15 12:57 PM,Information relating to out of state deceptive practices investigation,Open,E00146,2015-02-27T12:57:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7857447,-87.5902973
traffic accident,5250 s. harper ct.,NA,2015-02-27T13:23:00Z,2/27/15 1:20 PM,UC owned vehicle involved in minor property damage accident / No injuries reported / MVA00354,Closed,E00147,2015-02-27T13:20:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8000246,-87.588180500000007
traffic accident,5900 s. woodlawn,NA,2015-02-27T22:24:00Z,2/27/15 10:24 PM,Vehicle left roadway and struck two ground light fixtures at Woodlawn and Midway Pl. / Motorist transported to ER by CFD EMS / CPD case HY166488,CPD Involved,E00149,2015-02-27T22:24:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY166488,FALSE,41.7878702,-87.5963772
recovered motor vehicle,804 e. 54th st.,NA,2015-02-28T01:33:00Z,2/28/15 1:33 AM,"UCPD officers recovered a parked, unoccupied vehicle that had been reported stolen in the state of Washington  / CPD case HY166621",CPD Involved,E00148,2015-02-28T01:33:00Z,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY166621,FALSE,41.7969035,-87.6059012
liquor law violation,6031 s. ellis,granville-grossman rh,2015-03-01T00:36:00Z,3/1/15 12:36 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00150,2015-03-01T00:36:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
theft,1155 e. 57th st.,quadrangle club,2015-03-01T11:02:00Z,2/28/15 to 3/1/15 5:40 PM to 8:30 AM,Wallet taken from nightstand in 3rd floor room / Wallet found in the room and returned to owner / Unfounded,Unfounded,E00151,2015-02-28T17:40:00Z,2015-03-01T08:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791235,-87.597702
theft,5730 s. drexel,comer hospital,2015-03-01T20:54:00Z,3/1/15 8:20 PM to 8:50 PM,Unattended cell phone and tablet computer taken from room near X-Ray,Open,E00152,2015-03-01T20:20:00Z,2015-03-01T20:50:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7903948,-87.6038772
theft,5730 s. drexel,comer er,2015-03-02T10:26:00Z,3/2/15 8:55 AM to 9:25 AM,Unattended iPhone left on bench in lobby of ER taken by an unknown person,Open,E00153,2015-03-02T08:55:00Z,2015-03-02T09:25:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7903948,-87.6038772
medical call,5625 s. ellis,max palevsky,2015-03-03T00:55:00Z,3/3/15 12:50 AM,Sick person transported to the ER for evaluation and treatment,Closed,E00154,2015-03-03T00:50:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7929813,-87.6010029
burglary,drexel between 52nd & 53rd,NA,2015-03-03T06:10:00Z,3/3/15 5:50 AM,"Resident of off campus apartment was awakened by an unknown suspect who had gained entry and demanded property / Suspect took personal items including laptop, cell phone, and electronics before fleeing / Victim reported no injuries / CPD case HY170006",CPD Involved,E00155,2015-03-03T05:50:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY170006,FALSE,41.7995438,-87.6039244
injured person,kimbark at 60th st.,NA,2015-03-03T08:57:00Z,3/3/15 8:57 AM,Individual slipped on icy sidewalk / Fell to ground injuring left shoulder / Transported to ER by CFD EMS,Closed,E00156,2015-03-03T08:57:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7860424,-87.594714
assault,ingleside between 60th & 61st,NA,2015-03-03T20:40:00Z,3/2/15 8:00 PM,"Unknown male ran up to an individual and without provocation, screamed at him and ran off",Open,E00157,2015-03-02T20:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78499045,-87.60278745
theft,5823 s. kenwood,lab school - kovler gym,2015-03-03T21:51:00Z,3/3/15 8:00 PM to 9:00 PM,iPhone taken from book bag left unattended in room 121,Open,E00158,2015-03-03T20:00:00Z,2015-03-03T21:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7886421,-87.5927603
damage to property,5800 s. ellis,pedestrian walkway,2015-03-05T12:35:00Z,3/5/15 12:30 PM,Vehicle struck and damaged an access card reader,Open,E00159,2015-03-05T12:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789207,-87.601318
damage to property,5800 s. stony island,NA,2015-03-05T15:10:00Z,3/4/15 8:50 AM,"Pursuant to an argument over parking, an individual threw a traffic cone at a vehicle causing a dent in the passenger's side door / Subsequent to investigation, suspect was identified but victim declined to prosecute",Exceptionally Cleared,E00160,2015-03-04T08:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789619,-87.586578
traffic accident,5100 s. dorchester,NA,2015-03-05T17:40:00Z,3/5/15 5:40 PM,UC owned vehicle involved in traffic crash / Property damage only / No injury reported / CPD case HY173098,CPD Involved,E00161,2015-03-05T17:40:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY173098,FALSE,41.8020492,-87.592134
lost property,5839 s. maryland,wyler hospital,2015-03-06T10:39:00Z,8/1/14 to 2/19/15 Unknown time,Staff member reports losing iPad over stated period of time,Closed,E00162,2014-08-01T00:00:00Z,2015-02-19T00:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7885151,-87.6040574
theft,1116 e. 59th st.,harper,2015-03-06T16:49:00Z,3/6/15 3:30 to 4:45 PM,Unattended backpack taken from 3rd floor study area,Open,E00163,2015-03-06T03:30:00Z,2015-03-06T16:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7879664,-87.5995364
damage to property,6054 s. drexel,NA,2015-03-06T21:08:00Z,2/26/2015 3/6/15 7:30 PM 9:08 PM AM,Passenger's side view mirror damage / Cause unknown,Open,E00164,2015-02-26T00:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
theft,5811 s. ellis,cobb hall,2015-03-07T13:38:00Z,3/7/15 1:15 PM to 1:30 PM,Unattended backpack taken from 3rd floor hallway,Open,E00165,2015-03-07T13:15:00Z,2015-03-07T13:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7889661,-87.6009319
damage to vehicle,6054 s. drexel,parking structure,2015-03-07T16:30:00Z,3/7/15 4:30 PM,Minor damage noted on UC owned vehicle,Closed,E00166,2015-03-07T16:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
theft,1009 e. 57th st.,snell-hitchcock,2015-03-07T17:00:00Z,2/27/15 to 3/6/15 3:00 AM to 10:30 AM,Prescription medication taken from desk in room,Open,E00167,2015-02-27T03:00:00Z,2015-03-06T10:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7910784,-87.6005453
theft,1116 e. 59th st.,harper library,2015-03-07T17:42:00Z,3/7/15 5:40 PM,Unattended bag containing a laptop and a wallet was taken from hallway / UCPD officers located and arrested suspect / Property returned to owner,Arrest,E00168,2015-03-07T17:40:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7879664,-87.5995364
NA,kimbark between 53rd & 54th,NA,2015-03-08T15:51:00Z,3/8/15 2:00 PM to 3:00 PM,Individual became ill after ingesting a controlled substance in off-campus residence / Transported to ER by CFD EMS / CPD case,CPD Involved,E00169,2015-03-08T14:00:00Z,2015-03-08T15:00:00Z,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7987242,-87.59500705
NA,5625 s. university,fraternity house,2015-03-08T20:44:00Z,3/7/15 9:30 PM,Individual became involved in an altercation while attending a party / Received minor injuries / Treated and released at ER,Closed,E00170,2015-03-07T21:30:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7924259,-87.5977358
injured person,1050 e. 59th st.,wieboldt hall,2015-03-09T10:51:00Z,3/9/15 10:45 AM,"Individual fainted, fell to floor striking head / Treated by CFD EMS / Victim refused further treatment",Closed,E00171,2015-03-09T10:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.788697,-87.6006031
burglary,greenwood between 53rd & 54th,NA,2015-03-10T06:05:00Z,3/10/15 5:50 AM,"Unknown suspect gained entry to an off-campus private apartment via an unsecured window / Confronted resident and took a cellphone, laptop computer, and wallet before fleeing / CPD case",CPD Involved,E00172,2015-03-10T05:50:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7986738,-87.59972595
theft,5721 s. maryland,NA,2015-03-10T13:36:00Z,3/10/15 12:35 PM to 12:40 PM,Cash taken from wallet left unattended in car parked on the street,Open,E00173,2015-03-10T12:35:00Z,2015-03-10T12:40:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7901847,-87.6045849
found property,1100 e. 57th st.,NA,2015-03-11T03:12:00Z,3/11/15 3:12 AM,Shuttle bus driver found wallet on bus / Turned over to UCPD for safekeeping,Closed,E00174,2015-03-11T03:12:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
damage to property,6054 s. drexel,NA,2015-03-11T07:20:00Z,3/11/15 7:20 AM,Minor damage noted on rear bumper of UC owned vehicle,Closed,E00175,2015-03-11T07:20:00Z,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
lost property,1116 e. 59th st.,harper library,2015-03-11T12:57:00Z,3/11/15 12:20 PM to 12:30 PM,Individual reports losing iPhone from pocket between the 1st and 2nd floor,Closed,E00176,2015-03-11T12:20:00Z,2015-03-11T12:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7879664,-87.5995364
lost property,6054 s. drexel,NA,2015-03-11T19:01:00Z,3/10/15 to 3/11/15 5:00 PM to 6:30 PM,ID card holder and ID cards lost at unknown location,Closed,E00177,2015-03-10T17:00:00Z,2015-03-11T18:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
battery,5500 s. woodlawn,NA,2015-03-12T00:49:00Z,3/12/15 12:45 AM,"Suspect, without provocation, pushed victim to the sidewalk and struck him with his fist / Suspect arrested by UCPD",Arrest,E00178,2015-03-12T00:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7948135,-87.5975445
theft,1025 e. 58th st.,swift,2015-03-13T11:59:00Z,3/13/15 10:30 AM to 11:55 AM,2 laptop computers taken from unattended back packs left in unsecured office,Open,E00179,2015-03-13T10:30:00Z,2015-03-13T11:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789113,-87.600152
theft,924 e. 57th st.,bslc,2015-03-13T12:43:00Z,3/9/15 to 3/10/15 4:45 PM to 2:00 PM,"Bag containing laptop computer and 20 Ventra bus cards taken from hallway locker / Bag and laptop recovered, but Ventra cards were missing",Open,E00180,2015-03-09T16:45:00Z,2015-03-10T14:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
theft,1452 e. 53rd st.,chicago information exchange,2015-03-13T16:42:00Z,3/13/15 4:40 PM,Keys taken from pocket of coat hanging in coat room,Open,E00181,2015-03-13T16:40:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7997257,-87.5896855
damage to property,5505 s. ellis,parking structure,2015-03-15T08:04:00Z,3/15/15 8:04 AM,Report of graffiti scrawled on wall on 3rd floor of the structure,Open,E00182,2015-03-15T08:04:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.794575,-87.601637
assault,5640 s. university,bartlett commons,2015-03-15T19:48:00Z,3/15/15 7:48 PM,During a verbal altercation one employee displayed an unopened pocket knife /  Complainant refused to press criminal charges,Exceptionally Cleared,E00183,2015-03-15T19:48:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7919788,-87.5983645
burglary,1100 e. 58th st.,ryerson lab,2015-03-16T11:40:00Z,3/15/15 to 3/16/15 3:00 PM to 10:00 AM,Laptop computer taken from table in secured 3rd floor office,Open,E00184,2015-03-15T15:00:00Z,2015-03-16T10:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7901748,-87.5991412
theft,1101 e. 56th st.,max palevsky bike rack,2015-03-16T19:15:00Z,3/11/15 to 3/16/15 6:00 PM to 7:00 PM,Secured bicycle taken from bike rack,Open,E00185,2015-03-11T18:00:00Z,2015-03-16T19:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7929725,-87.5999278
damage to property,5758 s. maryland,dcam,2015-03-17T08:48:00Z,3/17/15 8:45 AM,Space heater on 2nd floor work area shorted / No fire / Scorch mark on floor / No injuries reported / CFD responded,Closed,E00186,2015-03-17T08:45:00Z,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7902993,-87.6055693
theft,5608 s. stony island,NA,2015-03-17T08:49:00Z,3/16/15 10:30 PM,Access point device taken from building,Open,E00187,2015-03-16T22:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792869,-87.5868373
theft,5812 s. ellis,surgery brain research,2015-03-17T09:27:00Z,3/16/15 to 3/17/15 12:15 PM to 8:00 AM,Unattended laptop computer taken from bag left in unsecured office,Open,E00188,2015-03-16T12:15:00Z,2015-03-17T08:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891768,-87.6019508
damage to property,6031 s. ellis,granville-grossman rh,2015-03-18T09:34:00Z,3/18/15 3:00 AM,Glass in office door shattered / Cause unknown,Closed,E00189,2015-03-18T03:00:00Z,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
theft,900 e. 57th st.,knapp center,2015-03-18T11:13:00Z,3/18/15 9:35 AM to 10:05 AM,Unknown person took laptop computer from desk in unsecured office,Open,E00190,2015-03-18T09:35:00Z,2015-03-18T10:05:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7916469,-87.6034081
injured person,1050 e. 59th st.,wieboldt hall,2015-03-20T00:18:00Z,3/19/15 10:45 PM,UCPD officer injured finger while on duty / Treated and released from ER,Closed,E00191,2015-03-19T22:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.788697,-87.6006031
battery,everett between 55th & 56th,NA,2015-03-20T00:47:00Z,3/17/15 11:00 PM,Individual reported a battery by an out-of-town acquaintance while staying in his apartment / Victim reported no injury / CPD report HY191357,CPD Involved,E00192,2015-03-17T23:00:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY191357,FALSE,41.79433475,-87.5823006
burglary,5747 s. university,fraternity house,2015-03-20T02:33:00Z,3/20/15 2:15 AM to 2:30 AM,Unknown suspects entered fraternity house / Removed 8 framed fraternity class photos from the wall and were chased from the building by a resident / CPD report HY191138,CPD Involved,E00193,2015-03-20T02:15:00Z,2015-03-20T02:30:00Z,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HY191138,FALSE,41.7901006,-87.5977117
damage to vehicle,6054 s. drexel,NA,2015-03-20T15:10:00Z,3/20/15 2:45 PM,Scratches were observed on hood and trunk of UC owned vehicle / Cause unknown,Closed,E00194,2015-03-20T14:45:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
burglary,915 e. 60th st.,logan center,2015-03-20T20:34:00Z,3/20/15 8:05 PM to 8:15 PM,Unattended book bag and laptop computer taken from unsecured office,Open,E00195,2015-03-20T20:05:00Z,2015-03-20T20:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7854503,-87.603927
damage to property,5836 s. greenwood,NA,2015-03-22T15:15:00Z,3/22/15 12:00 PM to 3:00 PM,Unknown person damaged bicycle lock,Open,E00196,2015-03-22T12:00:00Z,2015-03-22T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7932525,-87.5997692
theft,1531 e. 53rd st.,NA,2015-03-22T16:23:00Z,3/22/15 4:20 PM,Individual concealed bottle of gin under his coat and left retail establishment without paying / UCPD officer arrested the suspect nearby,Arrest,E00197,2015-03-22T16:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7993528,-87.5879271
traffic accident,5200 s. drexel,NA,2015-03-23T08:09:00Z,3/23/15 5:30 AM,UC owned vehicle sustained minor damage in traffic accident / No injuries reported / MVA00367,Closed,E00198,2015-03-23T05:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8002766,-87.6042345
harassment,1111 e. 60th st.,law school,2015-03-23T10:24:00Z,3/22/15 1:45 PM,"Harassing, threatening e-mail messages received",Open,E00199,2015-03-22T13:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7851673,-87.5985866
theft,5815 s. maryland,mitchell hospital,2015-03-23T12:02:00Z,3/23/15 11:45 AM,Individual arrested by UCPD after leaving gift shop with several items of merchandise hidden in a purse,Arrest,E00200,2015-03-23T11:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7892116,-87.6040662
found property,6030 s. ellis,edelstone hall,2015-03-23T14:05:00Z,3/24/15 2:00 PM,Cell phone found in Edelstone Hall / Turned over to UCPD / Inventoried for safekeeping,Closed,E00201,2015-03-24T14:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7848161,-87.6015965
